JobID,JobName,StartHour,DayOfWeek,Month,ExecutionTime_sec,RecordsProcessed,CPULoad_percent,MemoryUsage_MB,PreviousFailures,Priority,IsCritical,JobFailed
SAP_JOB_0,Z_MM_STOCK_RECONCILIATION,2,3,8,3850,26780,45,1024,1,2,0,0
SAP_JOB_1,RSMON000_ALERTMONITOR_RUN,19,5,11,680,45050,70,1780,0,1,1,0
SAP_JOB_2,Z_PP_MRP_RUN,1,2,5,150,15,92,3050,4,1,1,1
SAP_JOB_3,Z_BC_SYSTEM_HEALTH_CHECK,22,7,3,1250,100000,30,512,0,3,0,0
SAP_JOB_4,RBDAPP01_IDOC_PROCESSING,5,4,9,4500,88000,65,1530,2,2,0,0
SAP_JOB_5,Z_BW_DATA_LOAD_DAILY,3,6,1,8800,5,95,3800,5,1,1,1
SAP_JOB_6,Z_HR_PAYROLL_RUN,0,1,7,6500,5000,55,2048,1,1,1,0
SAP_JOB_7,RSCOLL00_STATS_COLLECTOR,4,3,12,280,35000,40,880,0,2,0,0
SAP_JOB_8,RDDIMPDP_TRANSPORT_IMPORT,21,5,2,120,0,88,2900,3,1,1,1
SAP_JOB_9,Z_FI_MONTH_END_CLOSING,23,7,10,7100,120000,60,2200,0,1,1,0
SAP_JOB_10,Z_SD_DAILY_SALES_REPORT,2,2,4,300,25000,50,1150,1,2,0,0
SAP_JOB_11,SAP_CCMS_MONITORING_BATCH,1,4,6,950,75000,35,750,0,3,0,0
SAP_JOB_12,Z_XI_MESSAGE_MONITORING,0,6,8,9500,10,93,3300,6,1,0,1
SAP_JOB_13,RSN3_AGGR_REPAIR_BW,3,1,11,5200,40000,72,1900,2,2,0,0
SAP_JOB_14,Z_APO_FORECAST_GENERATION,20,3,1,4800,6500,58,1600,1,1,1,0
SAP_JOB_15,RFBILA00_BALANCE_SHEET,22,5,5,6900,95000,68,2100,0,1,1,0
SAP_JOB_16,RSBTCDEL_DELETE_OLD_JOBS,4,7,9,550,200000,25,450,0,3,0,0
SAP_JOB_17,Z_CRM_LEAD_PROCESSING,18,2,2,2800,15000,48,1300,1,2,0,0
SAP_JOB_18,RSSTAT83_PERF_ANALYSIS,1,4,7,1800,0,85,2500,3,2,0,1
SAP_JOB_19,RSAL_BATCH_TOOL_DISPATCH,5,6,12,750,50000,33,600,0,3,0,0
SAP_JOB_20,Z_MM_STOCK_RECONCILIATION,23,1,3,25,0,90,2800,4,1,0,1
SAP_JOB_21,RSMON000_ALERTMONITOR_RUN,0,3,8,720,48000,68,1700,1,1,1,0
SAP_JOB_22,Z_PP_MRP_RUN,2,5,1,3900,3000,62,1850,2,1,1,0
SAP_JOB_23,Z_BC_SYSTEM_HEALTH_CHECK,21,7,6,1100,110000,28,480,0,3,0,0
SAP_JOB_24,RBDAPP01_IDOC_PROCESSING,3,2,10,10050,45,96,3950,7,1,1,1
SAP_JOB_25,Z_BW_DATA_LOAD_DAILY,4,4,4,5800,22000,75,2400,3,1,1,0
SAP_JOB_26,Z_HR_PAYROLL_RUN,1,6,9,6700,5200,53,1980,0,1,1,0
SAP_JOB_27,RSCOLL00_STATS_COLLECTOR,2,1,1,290,33000,42,920,1,2,0,0
