week,suggest,warehouse capacity
1,3647,8586
2,4825,3021
3,9057,10995
4,882,5995
5,5718,9705
6,0,0
7,12428,8894
8,5814,9925
9,1469,7811
10,10813,14680
11,4512,11123
12,3002,4550
13,6254,9314
14,3388,2258
15,4870,13936
16,8129,8283
17,3147,5970
18,10588,12236
19,5947,3306
20,7011,18180
21,4197,6876
22,4228,1713
23,4796,7248
24,7103,10711
25,5451,8911
26,11332,14897
27,3283,7060
28,10640,14436
29,3143,10910
30,5901,9939
31,12430,15387
32,5691,7564
33,5833,7994
34,10444,18386
35,4654,8454
36,8560,9814
37,6597,11021
38,1511,8039
39,3941,6528
40,5244,10344
41,2609,8301
42,8104,13414
43,3838,6339
44,6003,9914
45,7706,12037
46,7541,12014
47,2863,2421
48,11719,12256
49,6349,8319
50,10601,9156
51,7264,7416
52,6744,7715
53,9780,10669
54,5740,7283
55,9100,12249
56,6473,11250
57,5578,4953
58,8079,14489
59,8257,7714
60,1090,8859
61,12823,14887
62,6230,9253
63,9335,13270
64,6293,9650
65,5162,3235
66,7855,17205
67,6067,9676
68,4722,6050
69,11967,14896
70,6013,6978
71,6619,15787
72,6069,10377
73,3561,4983
74,10188,11224
75,6073,7798
76,11063,13868
77,4913,11601
78,3353,7872
79,9040,14631
80,5217,9228
81,11369,19546
82,6613,10372
83,3520,1346
84,12007,17603
85,3854,8874
86,6705,13671
87,4818,6275
88,11107,14067
89,6474,9195
90,4611,6131
91,6947,13614
92,10163,13735
93,6969,13043
94,7004,9714
95,5401,9735
96,11161,15137
97,7535,9839
98,13464,13635
99,9012,14077
100,2094,6724
101,12504,14552
102,5947,9074
103,9577,12699
104,6860,12363
105,6325,6596
106,11318,10171
107,7591,10600
108,9893,12790
109,1715,10264
110,4901,6126
111,11718,12460
112,9122,12680
113,7896,14779
114,5910,8811
115,3270,5592
116,8147,12934
117,8104,12222
118,6549,7384
119,9186,10730
120,9498,12580
121,13186,15742
122,4861,10175
123,2491,5491
124,11706,11741
125,12002,11136
126,9526,11427
127,7268,15801
128,4121,6438
129,8834,14371
130,13359,11473
131,10685,16062
132,9269,14606
133,5205,1974
134,8272,16291
135,7942,11802
136,9116,10708
137,13768,15955
138,6561,7615
139,8197,11865
140,8776,14843
141,5607,9586
142,11607,15005
143,7481,13368
144,11197,13488
